Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
Q504Y2,2.7.10.2,2,2.7,2.7.11,2.7.11.1
Q55U20,3.5.1.41,3,3.5,3.5.1,3.5.1.41
Q59VH7,3.4.23.24,3,3.4,3.4.23,3.4.23.-
Q5A446,1.16.1.9,1,1.16,1.16.1,1.16.1.9
Q5F499,3.6.5.5,3,3.6,3.6.5,3.6.5.-
Q609I3,2.7.1.90,2,2.7,2.7.1,2.7.1.90
Q62270,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q62910,3.1.3.36,3,3.1,3.1.3,3.1.3.36
Q63932,2.7.12.2,2,2.7,2.7.12,2.7.12.2
Q64559,3.1.2.2,3,3.1,3.1.2,3.1.2.-
Q66HA1,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q6J9G1,2.7.10.2,2,2.7,2.7.10,2.7.10.1
Q6N021,1.14.11.n2,1,1.14,1.14.11,1.14.11.n2
Q6PCB6,3.1.2.22,3,3.1,3.1.2,3.1.2.22
Q7T2V3,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q7Z449,1.14.14.80,1,1.14,1.14.14,1.14.14.-
Q80Y84,1.14.11.67,1,1.14,1.14.11,1.14.11.67
Q80Y86,2.7.11.24,2,2.7,2.7.11,2.7.11.24
Q84VX4,2.7.12.2,2,2.7,2.7.12,2.7.11.1
Q84W92,2.1.1.319,2,2.1,2.1.1,2.1.1.319
Q86H13,3.1.4.53,3,3.1,3.1.4,3.1.4.35
Q86KF9,2.7.1.91,2,2.7,2.7.1,2.7.1.91
Q86MV5,2.7.7.52,2,2.7,2.7.7,2.7.7.52
Q8BWM0,5.3.99.3,2,2.5,2.5.1,2.5.1.18
Q8C078,2.7.11.17,2,2.7,2.7.11,2.7.11.1
Q8CE90,2.7.12.2,2,2.7,2.7.12,2.7.12.2
Q8H1H9,1.4.3.21,1,1.4,1.4.3,1.4.3.21
Q8IXK2,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8K1B9,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8K3R3,3.1.4.11,3,3.1,3.1.4,3.1.4.11
Q8K4D7,3.1.4.11,3,3.1,3.1.4,3.1.4.11
Q8K4Y7,3.6.1.6,3,3.6,3.6.1,3.6.1.5
Q8LGZ9,1.14.11.13,1,1.14,1.14.11,1.14.11.13
Q8MRC9,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8MT36,2.1.1.357,2,2.1,2.1.1,2.1.1.354
Q8MXI4,2.7.11.24,2,2.7,2.7.11,2.7.11.24
Q8NEZ4,2.1.1.364,2,2.1,2.1.1,2.1.1.364
Q8NJP6,3.1.1.72,3,3.1,3.1.1,3.1.1.73
Q8RUF8,3.5.1.3,3,3.5,3.5.1,3.5.1.128
Q8RWH3,2.7.12.1,2,2.7,2.7.12,2.7.12.1
Q8TC12,1.1.1.300,1,1.1,1.1.1,1.1.1.-
Q8UVR8,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q8WQX5,2.7.7.52,2,2.7,2.7.7,2.7.7.52
Q90413,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q91738,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q922K9,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q93105,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q94JQ4,3.5.99.10,3,3.5,3.5.99,3.5.99.10
Q95NM6,3.1.30.-,3,3.1,3.1.30,3.1.30.-
Q95UN8,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q95ZV7,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q968Y9,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q96S53,2.7.12.1,2,2.7,2.7.11,2.7.11.1
Q96TU3,3.2.1.80,3,3.2,3.2.1,3.2.1.26
Q99259,4.1.1.15,4,4.1,4.1.1,4.1.1.-
Q99558,2.7.11.25,2,2.7,2.7.11,2.7.11.1
Q99638,3.1.11.2,3,3.1,3.1.11,3.1.11.2
Q99NB7,3.1.2.1,4,4.2,4.2.1,4.2.1.-
Q9BYM8,2.3.2.31,2,2.3,2.3.2,2.3.2.31
Q9C509,4.1.2.27,4,4.1,4.1.2,4.1.2.27
Q9C7T7,2.7.10.1,2,2.7,2.7.11,2.7.11.1
Q9EPL5,3.4.24.7,3,3.4,3.4.24,3.4.24.-
Q9FFP1,2.3.2.31,2,2.3,2.3.2,2.3.2.31
Q9FGL5,2.7.10.1,2,2.7,2.7.11,2.7.11.1
Q9FNK4,2.6.1.13,2,2.6,2.6.1,2.6.1.13
Q9FNX8,1.13.11.12,1,1.13,1.13.11,1.13.11.12
Q9FUJ2,1.5.99.12,1,1.5,1.5.99,1.5.99.12
Q9GRU1,2.7.11.24,2,2.7,2.7.11,2.7.11.24
Q9HU05,5.4.99.5,5,5.4,5.4.99,5.4.99.5
Q9I7F7,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q9I8N6,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q9JI90,2.3.2.31,2,2.3,2.3.2,2.3.2.31
Q9M8R4,4.4.1.5,4,4.2,4.2.1,4.2.1.130
Q9NTI2,7.6.2.1,7,7.6,7.6.2,7.6.2.1
Q9P4D8,5.4.99.5,5,5.4,5.4.99,5.4.99.5
Q9R049,2.3.2.36,2,2.3,2.3.2,2.3.2.27
Q9SZC9,7.2.2.8,7,7.2,7.2.2,7.2.2.9
Q9TV13,3.4.22.36,3,3.4,3.4.22,3.4.22.-
Q9TXI7,2.7.1.137,2,2.7,2.7.1,2.7.1.137
Q9U280,7.6.2.1,7,7.6,7.6.2,7.6.2.1
Q9UF33,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q9UKM7,3.2.1.113,3,3.2,3.2.1,3.2.1.113
Q9V3D5,2.7.12.1,2,2.7,2.7.12,2.7.12.1
Q9V3T9,1.18.1.6,1,1.18,1.18.1,1.18.1.6
Q9VD44,2.7.7.19,2,2.1,2.1.1,2.1.1.360
Q9VEU5,4.6.1.2,4,4.6,4.6.1,4.6.1.2
Q9VLA1,2.4.1.135,2,2.4,2.4.1,2.4.1.135
Q9VPD3,2.7.8.29,2,2.7,2.7.8,2.7.8.29
Q9VRQ9,2.3.2.5,2,2.3,2.3.2,2.3.2.5
Q9VYS4,2.7.7.19,2,2.1,2.1.1,2.1.1.360
Q9W436,3.4.24.11,3,3.4,3.4.24,3.4.24.11
Q9XIE6,7.6.2.1,7,7.6,7.6.2,7.6.2.1
Q9XT50,7.2.2.8,7,7.2,7.2.2,7.2.2.8
Q9XTY1,4.6.1.2,4,4.6,4.6.1,4.6.1.2
S7VVK4,4.6.1.2,7,7.6,7.6.2,7.2.2.-
S7WCF5,2.4.1.221,2,2.4,2.4.1,2.4.1.117
A0A078BQP2,4.6.1.2,4,4.6,4.6.1,4.6.1.2
A5D9A7,7.2.1.3,7,7.2,7.2.1,7.2.1.-
A6BM06,1.14.17.4,1,1.14,1.14.11,1.14.11.-
A7LCJ2,3.1.1.4,3,3.1,3.1.1,3.1.1.4
A7Z050,2.7.4.24,2,2.7,2.7.4,2.7.4.24
B1KJM4,3.7.1.3,3,3.7,3.7.1,3.7.1.3
B3DL84,2.7.11.21,2,2.7,2.7.11,2.7.11.21
B3LVW5,3.1.4.35,3,3.1,3.1.4,3.1.4.17
C1JAR9,3.1.1.4,3,3.1,3.1.1,3.1.1.4
F1SVL1,1.12.98.3,7,7.1,7.1.1,7.1.1.-
F2Z699,1.6.5.9,1,1.6,1.6.5,1.6.5.9
F8QQQ7,4.1.1.33,4,4.1,4.1.1,4.1.1.33
G8SD34,3.2.2.6,3,3.2,3.2.2,3.2.2.6
I1RPI4,2.4.1.80,2,2.4,2.4.1,2.4.1.80
I7GQA7,3.1.1.4,3,3.1,3.1.1,3.1.1.4
K7X479,2.5.1.87,2,2.5,2.5.1,2.5.1.-
O06334,4.1.1.112,4,4.1,4.1.3,4.1.3.39
O08462,7.2.2.9,7,7.2,7.2.2,7.2.2.8
O13834,2.3.2.26,2,2.3,2.3.2,2.3.2.26
O13846,1.14.18.-,1,1.14,1.14.18,1.14.18.-
O18956,3.6.1.5,3,3.6,3.6.1,3.6.1.5
O26325,6.5.1.9,6,6.5,6.5.1,6.5.1.9
O34431,7.2.2.10,7,7.2,7.2.2,7.2.2.-
O59905,4.3.3.6,4,4.3,4.3.3,4.3.3.6
O74326,2.7.7.19,2,2.7,2.7.7,2.7.7.19
O74349,2.3.2.27,2,2.3,2.3.2,2.3.2.27
O74747,2.3.2.27,2,2.3,2.3.2,2.3.2.27
O74914,4.2.1.130,4,4.2,4.2.1,4.2.1.130
O74935,1.3.3.6,1,1.3,1.3.3,1.3.3.6
O81902,2.3.2.27,2,2.3,2.3.2,2.3.2.27
O92503,2.3.2.27,2,2.3,2.3.2,2.3.2.27
O94275,2.3.2.26,2,2.3,2.3.2,2.3.2.26
P07297,3.1.1.4,3,3.1,3.1.1,3.1.1.4
P07962,2.8.4.1,2,2.5,4.1.1,1.11.1.7
P08066,1.3.5.1,1,1.3,1.3.5,1.3.5.1
P08790,1.3.3.6,1,1.3,1.3.3,1.3.3.6
P0CH30,2.3.2.27,2,2.3,2.3.2,2.3.2.27
P0DUE1,3.2.2.6,3,3.2,3.2.2,3.2.2.6
P13063,1.12.99.6,1,1.12,1.12.99,1.12.99.6
P13266,2.7.7.43,2,2.7,2.7.7,2.7.7.43
P16468,1.1.1.38,1,1.1,1.1.1,1.1.1.38
P20114,7.1.1.8,7,7.1,7.1.1,7.1.1.8
P24498,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P25076,7.1.1.8,7,7.1,7.1.1,7.1.1.8
P28990,2.3.2.27,2,2.3,2.3.2,2.3.2.27
P32469,2.1.1.314,2,2.1,2.1.1,2.1.1.98
P33288,2.3.2.27,2,2.3,2.3.2,2.3.2.27
P35202,2.7.6.2,2,2.7,2.7.6,2.7.6.2
P36001,6.3.2.17,6,6.3,6.3.2,6.3.2.17
P36587,1.6.2.4,1,1.6,1.6.2,1.6.2.4
P36841,1.7.1.1,1,1.7,1.7.1,1.7.1.1
P37278,7.2.2.10,7,7.2,7.2.2,7.2.2.-
P37878,3.2.2.21,3,3.2,3.2.2,3.2.2.21
P38566,3.2.1.35,3,3.2,3.2.1,3.2.1.35
P38938,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P40481,2.1.1.85,2,2.1,2.1.1,2.1.1.-
P40985,2.3.2.26,2,2.3,2.3.2,2.3.2.26
P41347,1.8.7.2,4,4.1,4.1.3,4.1.3.30
P41676,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P43524,4.6.1.1,4,4.6,4.6.1,4.6.1.1
P43637,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P45894,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P47042,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P47147,3.1.3.64,3,3.1,3.1.3,3.1.3.64
P47199,1.6.5.5,1,1.6,1.6.5,1.6.5.5
P48479,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P49606,4.6.1.1,2,2.7,2.7.11,2.7.11.1
P50401,3.2.1.91,3,3.2,3.2.1,3.2.1.91
P50735,1.4.1.2,1,1.4,1.4.1,1.4.1.3
P50828,3.2.1.35,3,3.2,3.2.2,3.2.2.6
P51008,1.3.98.3,1,1.3,1.3.98,1.3.98.3
P51053,1.3.5.1,1,1.3,1.3.5,1.3.5.1
P52369,3.4.21.97,3,3.4,3.4.21,3.4.21.97
P53233,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P54736,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P54737,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P54738,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P54742,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P54817,3.4.21.97,3,3.4,3.4.21,3.4.21.97
P54871,2.3.3.10,2,2.3,2.3.3,2.3.3.10
P55006,1.1.1.105,1,1.1,1.1.1,1.1.1.-
P62576,3.2.1.18,3,3.2,3.2.1,3.2.1.18
P71517,1.21.98.4,1,1.21,1.21.98,1.21.98.4
P74921,2.6.1.42,2,2.6,2.6.1,2.6.1.21
P80581,2.7.1.1,2,2.7,2.7.1,2.7.1.1
P85098,1.7.5.1,1,1.7,1.7.5,1.7.5.1
P86810,1.4.3.2,1,1.4,1.4.3,1.4.3.2
P90990,2.3.2.27,2,2.3,2.3.2,2.3.2.27
P93050,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P93604,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P93756,2.7.11.1,2,2.7,2.7.11,2.7.11.1
P96463,3.2.1.55,3,3.2,3.2.1,3.2.1.99
P9WG69,2.3.1.9,2,2.3,2.3.1,2.3.1.16
P9WHV5,3.6.1.11,3,3.6,3.6.1,3.6.1.-
Q00390,1.12.98.1,1,1.12,1.12.98,1.12.98.1
Q00940,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q01387,3.6.5.2,3,3.6,3.6.5,3.6.5.2
Q01631,4.6.1.1,4,4.6,4.6.1,4.6.1.1
Q02155,2.7.1.1,2,2.7,2.7.1,2.7.1.1
Q02332,2.7.11.2,2,2.7,2.7.11,2.7.11.2
Q02398,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q02834,3.2.1.18,3,3.2,3.2.1,3.2.1.18
Q03002,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q03306,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q05101,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q06098,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q07729,3.5.4.3,3,3.5,3.5.4,3.5.4.3
Q08732,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q08DZ2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q09291,2.3.2.26,2,2.3,2.3.2,2.3.2.27
Q09654,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q0JI49,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q0KHT7,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q0UY20,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q0V7T5,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q0VCA7,2.3.1.41,2,2.3,2.3.1,2.3.1.41
Q0WQX9,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q10056,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q10078,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q10251,3.6.5.3,3,3.6,3.6.5,3.6.5.3
Q11010,3.4.11.2,3,3.4,3.4.11,3.4.11.-
Q12152,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q12209,1.16.1.7,1,1.16,1.16.1,1.16.1.-
Q12222,2.7.11.1,2,2.7,2.7.12,2.7.11.1
Q12310,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q12649,1.1.1.34,1,1.1,1.1.1,1.1.1.34
Q17QS4,2.7.1.68,2,2.7,2.7.1,2.7.1.68
Q18164,1.3.1.2,1,1.21,1.21.99,1.7.1.7
Q18846,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q1LY77,2.1.1.354,2,2.1,2.1.1,2.1.1.354
Q1RIB3,1.2.1.11,1,1.2,1.2.1,1.2.1.11
Q1RMT8,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q1ZXD6,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q20085,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q20443,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q21697,3.5.1.26,3,3.5,3.5.1,3.5.1.26
Q26721,4.6.1.1,4,4.6,4.6.1,4.6.1.1
Q28DL4,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q29RU0,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q2FYQ8,7.2.2.11,7,7.2,7.2.2,7.2.2.-
Q2LUM5,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q2PT36,3.5.4.38,3,3.5,3.5.4,3.5.4.38
Q2RK16,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q2S0P9,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q2TL32,2.3.2.27,2,2.7,2.7.11,2.7.11.1
Q2W897,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q2YKD6,7.1.1.7,7,7.1,7.1.1,7.1.1.9
Q39202,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q3A2Z4,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q3AC22,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q3ECH2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q3T1H6,2.3.2.26,2,2.3,2.3.2,2.3.2.26
Q45FA5,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q49GP5,2.7.1.67,2,2.7,2.7.1,2.7.1.67
Q4FE47,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q4J6H1,2.3.3.21,2,2.3,2.3.3,2.3.3.13
Q4P5N0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q4R8E0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q4U5R4,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q4V7X9,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q4WQI1,3.4.19.12,3,3.4,3.4.19,3.4.19.12
Q4WSY2,1.1.1.34,1,1.1,1.1.1,1.1.1.34
Q4WVM7,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q52WX2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q53728,3.1.4.4,3,3.1,3.1.4,3.1.4.4
Q53WK1,2.4.99.-,2,2.4,2.4.1,2.4.1.-
Q54B33,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54BF0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54C71,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54EG9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54EY4,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54GY6,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54H45,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54IE8,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54JG7,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54M77,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54MY9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54NJ8,2.4.2.8,2,2.4,2.4.2,2.4.2.8
Q54P47,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54QI2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54QM6,3.1.3.48,3,3.1,3.1.3,3.1.3.48
Q54S31,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q54S77,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54T05,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54UK0,3.1.4.4,3,3.1,3.1.4,3.1.4.4
Q54UL8,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54VI1,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54W86,2.7.11.18,2,2.7,2.7.11,2.7.11.1
Q54WS5,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54XL6,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q54Y26,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q550K8,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q551H4,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q556Q3,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q556S2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q557G1,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q55CW2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q55CY9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q55DJ8,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q55EC7,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q59229,2.7.2.4,2,2.7,2.7.2,2.7.2.4
Q59S66,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5A3P6,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5A649,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5A961,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5ABX0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5ACU3,2.4.1.109,2,2.4,2.4.1,2.4.1.109
Q5AUM3,3.2.1.99,3,3.2,3.2.1,3.2.1.99
Q5B4Z3,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5JL96,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5JLS2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5M7X9,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5MQD1,3.1.1.53,3,3.4,3.4.23,3.4.23.-
Q5QLR5,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5R778,1.3.8.-,1,1.3,1.3.99,1.3.99.-
Q5R9W2,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5SKN9,6.2.1.3,6,6.2,6.2.1,6.2.1.-
Q5TZ24,1.14.17.-,1,1.14,1.14.17,1.14.17.-
Q5VJL3,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q5VV17,3.4.19.12,3,3.4,3.4.19,3.4.19.12
Q5XF85,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5ZHY5,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5ZIR9,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q5ZMA2,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q60DG4,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q61IS6,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q621J7,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q62728,3.1.3.48,3,3.1,3.1.3,3.1.3.48
Q65X23,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q681Z2,3.1.3.48,3,3.1,3.1.3,3.1.3.48
Q696W0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q69IM9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q69JN6,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q69ST6,5.3.4.1,5,5.3,5.3.4,5.3.4.1
Q6AVN2,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q6BS08,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6C3J2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6C4Y5,2.1.1.360,2,2.1,2.1.1,2.1.1.360
Q6C7U0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6CAD2,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6DIJ4,3.4.19.12,3,3.4,3.4.19,3.4.19.12
Q6FKJ1,3.1.1.5,3,3.1,3.1.1,3.1.1.5
Q6FL58,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6FN53,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6FNM5,2.1.1.360,2,2.1,2.1.1,2.1.1.360
Q6FP74,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6FPI4,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q6FQF0,3.4.19.12,3,3.4,3.4.19,3.4.19.12
Q6FX42,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6GPK9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6NTT6,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q6NYK8,2.3.2.27,2,2.3,2.3.2,2.3.2.36
Q6NYL5,2.6.1.2,2,2.6,2.6.1,2.6.1.2
Q6PFK1,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q6XHA5,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6XV52,3.2.1.18,3,3.2,3.2.1,3.2.1.18
Q6YI48,3.1.3.48,3,3.1,3.1.3,3.1.3.48
Q6YSY5,2.1.1.4,2,2.1,2.1.1,2.1.1.-
Q6YXZ7,2.1.1.320,2,2.1,2.1.1,2.1.1.320
Q6YY75,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q6ZDE3,1.14.14.137,1,1.14,1.14.14,1.14.14.-
Q751J3,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q756Z0,3.1.1.5,3,3.1,3.1.1,3.1.1.5
Q75DB8,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q75EN0,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q76PD2,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q77J49,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q7F8Q9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q7K175,2.1.1.n8,2,2.1,2.1.1,2.1.1.n8
Q7KWK5,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q7MWM7,6.3.2.13,6,6.3,6.3.2,6.3.2.13
Q7NPZ4,6.3.2.13,6,6.3,6.3.2,6.3.2.13
Q7QBW0,5.6.1.1,5,5.6,5.6.1,5.6.1.1
Q7RZT9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q7SY52,2.7.11.1,2,2.7,2.7.11,2.7.11.1
Q7T037,2.3.2.27,2,2.3,2.3.2,2.3.2.27
Q7TSC3,2.7.11.1,2,2.7,2.7.11,2.7.11.1
